"Organisation","Sector","Common Name","Acronym","Postal Address","Web Site","Email"
"State Services Commission","Public Service Department","","SSC","PO Box 329
WELLINGTON
","http://www.ssc.govt.nz","commission@ssc.govt.nz"
"Ministry for the Environment","Public Service Department","","MFE","PO Box 10362
WELLINGTON
","http://www.mfe.govt.nz/","information@mfe.govt.nz"
"Ministry of Fisheries","Public Service Department","","MFish","PO Box 1020
WELLINGTON
","http://www.fish.govt.nz/","info@fish.govt.nz"
"Land Information New Zealand","Public Service Department","","LINZ","PO Box 5501
WELLINGTON
","http://www.linz.govt.nz","info@linz.govt.nz"
"Government Communications Security Bureau","Public Service Department","","GCSB","PO Box 12209
WELLINGTON
","http://www.gcsb.govt.nz/","information@gcsb.govt.nz"
"The Treasury","Public Service Department","","","PO Box 3724
WELLINGTON
","http://www.treasury.govt.nz","information@treasury.govt.nz"
"Ministry of Economic Development","Public Service Department","","MED","PO Box 1473
WELLINGTON
","http://www.med.govt.nz","info@med.govt.nz"
"Crown Law Office","Public Service Department","","","PO Box 2858
WELLINGTON
","http://www.crownlaw.govt.nz","library@crownlaw.govt.nz"
"Department of Conservation","Public Service Department","","DOC","PO Box 10420
WELLINGTON 6143
","http://www.doc.govt.nz/",""
"Department of Corrections","Public Service Department","","","PO Box 1206
WELLINGTON
","http://www.corrections.govt.nz",""
"Department of Internal Affairs","Public Service Department","","DIA","PO Box 805
WELLINGTON
","http://www.dia.govt.nz/","info@dia.govt.nz"
"Department of Labour","Public Service Department","","","PO Box 3705
WELLINGTON
","http://www.dol.govt.nz",""
"Education Review Office","Public Service Department","","ERO","PO Box 2799
WELLINGTON
","http://www.ero.govt.nz","info@ero.govt.nz"
"Inland Revenue Department","Public Service Department","","IRD","PO Box 2198
WELLINGTON
","http://www.ird.govt.nz",""
"Ministry for Culture and Heritage","Public Service Department","","","PO Box 5364
WELLINGTON
","http://www.mch.govt.nz","info@mch.govt.nz"
"Ministry of Agriculture and Forestry","Public Service Department","","MAF","PO Box 2526
WELLINGTON
","http://www.maf.govt.nz","info@maf.govt.nz"
"Ministry of Defence","Public Service Department","","","PO Box 12703
Molesworth Street
WELLINGTON 6144
","http://www.defence.govt.nz","info@defence.govt.nz"
"Ministry of Education","Public Service Department","","","PO Box 1666
Thorndon
WELLINGTON
","http://www.minedu.govt.nz","Communications@minedu.govt.nz"
"Ministry of Foreign Affairs and Trade","Public Service Department","","MFAT","Private Bag 18901
WELLINGTON
","http://www.mfat.govt.nz","enquiries@mfat.govt.nz"
"Ministry of Health","Public Service Department","","MOH","PO Box 5013
WELLINGTON
","http://www.moh.govt.nz","EmailMOH@moh.govt.nz"
"Ministry of Justice","Public Service Department","","","PO Box 180
WELLINGTON
","http://www.justice.govt.nz","reception@justice.govt.nz"
"Ministry of Pacific Island Affairs","Public Service Department","","MPIA","PO Box 833
WELLINGTON
","http://www.minpac.govt.nz/","contact@minpac.govt.nz"
"Ministry of Social Development","Public Service Department","","MSD","PO Box 1556
WELLINGTON
","http://www.msd.govt.nz","information@msd.govt.nz"
"Ministry of Transport","Public Service Department","","MOT","PO Box 3175
WELLINGTON
","http://www.transport.govt.nz","info@transport.govt.nz"
"Ministry of Women's Affairs","Public Service Department","","MWA","PO Box 10049
WELLINGTON
","http://www.mwa.govt.nz","mwa@mwa.govt.nz"
"New Zealand Customs Service","Public Service Department","","NZCS","PO Box 2218
WELLINGTON
","http://www.customs.govt.nz","feedback@customs.govt.nz"
"Serious Fraud Office","Public Service Department","","SFO","PO Box 7124
Wellesley Street
AUCKLAND
","http://sfo.govt.nz/","SFO@sfo.govt.nz"
"Statistics New Zealand","Public Service Department","","","PO Box 2922
WELLINGTON
","http://www.stats.govt.nz","info@stats.govt.nz"
"Ministry of Māori Development","Public Service Department","Te Puni Kokiri","TPK","PO Box 3943
WELLINGTON
","http://www.tpk.govt.nz","tpkinfo@tpk.govt.nz"
"Department of the Prime Minister and Cabinet","Public Service Department","","DPMC","Executive Wing, Parliament Buildings
WELLINGTON
","http://www.dpmc.govt.nz","information@dpmc.govt.nz"
"Department of Building and Housing","Public Service Department","","","PO Box 10729
WELLINGTON
","http://www.dbh.govt.nz","info@dbh.govt.nz"
"Archives New Zealand Te Rua Mahara o te Kāwanatanga","Public Service Department","","","PO Box 12050
WELLINGTON
","http://www.archives.govt.nz","reference@archives.govt.nz"
"National Library of New Zealand Te Puna Mātauranga o Aotearoa","Public Service Department","National Library","NLNZ","PO Box 1467
WELLINGTON
","http://www.natlib.govt.nz","information@natlib.govt.nz"
"Ministry of Research, Science, and Technology","Public Service Department","","MoRST","PO Box 5336
WELLINGTON
","http://www.morst.govt.nz","talk2us@morst.govt.nz"
"Parliamentary Counsel Office","Non Public Service Department","","PCO","PO Box 18070
WELLINGTON
","http://www.pco.parliament.govt.nz/","contact.pco@parliament.govt.nz"
"New Zealand Security Intelligence Service","Non Public Service Department","","NZSIS","PO Box 900
WELLINGTON
","http://www.nzsis.govt.nz",""
"Parliamentary Service","Non Public Service Department","","","PO Box 18041
WELLINGTON
","http://www.parliament.nz/en-NZ/Admin/Agencies/PS/","parlinfo@parliament.govt.nz"
"New Zealand Defence Force","Non Public Service Department","","NZDF","Private Bag
WELLINGTON
","http://www.nzdf.mil.nz",""
"Office of the Clerk of the House of Representatives","Non Public Service Department","Office of the Clerk","","PO Box 18041
WELLINGTON
","http://www.parliament.nz/en-NZ/Admin/Agencies/OOC/",""
"New Zealand Police","Non Public Service Department","","","PO Box 3017
WELLINGTON
","http://www.police.govt.nz","information@police.govt.nz"
"Auckland District Health Board","District Health Board","","","PO Box 92189
AUCKLAND
","http://www.adhb.govt.nz",""
"Bay of Plenty District Health Board","District Health Board","","","Private Bag 12024
TAURANGA
","http://www.bopdhb.govt.nz","bopdhb@bopdhb.govt.nz"
"Canterbury District Health Board","District Health Board","","","PO Box 1600
CHRISTCHURCH
","http://www.cdhb.govt.nz",""
"Capital and Coast District Health Board","District Health Board","","","Private Bag 7902
WELLINGTON SOUTH
","http://www.ccdhb.org.nz",""
"Counties Manukau District Health Board","District Health Board","","","Private Bag 94052
SOUTH AUCKLAND MAIL CENTRE
","http://www.cmdhb.org.nz",""
"Hawke's Bay District Health Board","District Health Board","","","Private Bag 9014
HASTINGS
","http://www.hawkesbaydhb.govt.nz",""
"Hutt District Health Board","District Health Board","Hutt Valley District Health Board","","Private Bag 31907
LOWER HUTT
","http://www.huttvalleydhb.org.nz","webmaster@huttvalleydhb.org.nz"
"Lakes District Health Board","District Health Board","","","Private Bag 3023
Rotorua Mail Centre
ROTORUA 3046
","http://www.lakesdhb.govt.nz","ceooffice@lakesdhb.govt.nz"
